Code,Name,ROE,PER
036030,케이티알파,6.92,10.76
089600,나스미디어,8.00,12.33
038290,마크로젠,-9.93,-10.24
045390,대아티아이,9.27,17.57
039980,폴라리스AI,1.28,-69.88
452200,민테크,-876.08,-21.97
190510,나무가,17.32,9.13
330860,네패스아크,-12.57,-8.21
203400,에이비온,-232.95,-5.87
439580,블루엠텍,-10.05,-41.56
033160,엠케이전자,-9.18,-5.23
052420,오성첨단소재,5.80,11.70
082800,비보존 제약,-3.24,-85.41
448280,에코아이,17.40,10.45
042370,비츠로테크,-0.38,-105.21
053080,케이엔솔,6.91,15.98
067390,아스트,-446.04,-0.61
452280,한선엔지니어링,12.04,34.12
101930,인화정공,1.47,3.62
083790,CG인바이츠,-29.33,-4.40
035080,그래디언트,-2.78,-17.81
097800,윈팩,-54.20,-4.00
377450,리파인,14.55,8.55
305090,마이크로디지탈,8.34,146.71
024810,이화전기,-4.11,-10.10
194700,노바렉스,11.56,8.85
462350,이노스페이스,N/A,-1.97
131370,알서포트,8.14,27.22
071280,로체시스템즈,8.21,23.76
036890,진성티이씨,12.87,9.91
036800,나이스정보통신,9.43,5.43
299660,셀리드,-74.72,-15.28
092190,서울바이오시스,-183.08,-2.08
067080,대화제약,-1.52,-53.52
092870,엑시콘,3.36,-73.65
236200,슈프리마,11.90,7.55
122990,와이솔,3.83,12.90
146320,비씨엔씨,1.68,77.92
138610,나이벡,-20.30,-29.23
389650,넥스트바이오메디컬,244.41,-21.76
182360,큐브엔터,18.71,16.52
100130,동국S&C,-12.43,-12.11
322310,오로스테크놀로지,5.47,"-1,827.27"
084990,헬릭스미스,-34.56,-3.03
405100,큐알티,2.57,103.11
016790,현대사료,"3,775.29",-0.77
079940,가비아,11.79,11.04
093640,케이알엠,N/A,-8.28
073010,케이에스피,31.81,10.64
060590,씨티씨바이오,-18.41,-13.16
023760,한국캐피탈,12.39,2.53
049950,미래컴퍼니,2.66,-21.25
068930,디지털대성,8.03,15.48
029480,광무,7.51,1.82
078070,유비쿼스홀딩스,5.91,11.50
079810,디이엔티,1.20,21.37
211270,AP위성,11.66,11.91
293780,압타바이오,N/A,-16.43
090710,휴림로봇,-6.43,-14.75
149950,아바텍,3.44,12.96
052260,현대바이오랜드,6.07,23.26
122450,KX,6.85,11.00
067280,멀티캠퍼스,17.37,5.68
396470,워트,4.74,65.64
045970,코아시아,-34.72,-7.09
046440,KG모빌리언스,13.40,3.74
096240,크레버스,33.62,19.51
035810,이지홀딩스,4.61,4.46
123410,코리아에프티,19.34,6.23
